,latitude,longitude
0,42.326988,-71.110632
1,41.283665,-72.960451
2,42.502902,-71.272671
3,43.0123,-71.4408
4,41.833799,-71.434755
5,42.065109,-71.054714
6,42.329521,-71.11084
7,42.270702,-71.171977
8,42.347444,-72.686019
9,41.702491,-72.734967
10,41.284505,-72.957551
11,44.279805,-69.701815
12,43.648498,-72.342911
13,42.366399,-71.059
14,47.268218,-68.59227
15,46.134289,-67.843494
16,45.054001,-69.882826
17,46.879240,-68.010621
18,44.803131,-68.759952
19,42.881324,-73.197145
20,,
21,44.462762,-73.218405
22,45.189342,-67.280114
23,43.974999,-71.12951
24,41.408815,-73.436193
25,42.586386,-71.804478
26,42.282982,-71.417435
27,42.625979,-70.680109
28,42.577188,-72.624378
29,42.774145,-71.079996
30,41.651829,-70.294084
31,41.349514,-72.103072
32,42.9149521,-72.2587535
33,44.0705520,-70.1896730
34,45.354900,-68.525800
35,44.299165,-71.768633
36,42.621041,-71.314635
37,42.470253,-70.959968
38,41.529836,-71.296270
39,41.636098,-70.929401
40,44.932056,-72.181292
41,42.451500,-73.251736
42,41.923293,-70.65666
43,43.6606433,-70.2480035
44,43.087398,-70.816069
45,42.272606,-71.030809
46,44.551716,-70.557421
47,43.607158,-72.984773
48,43.514900,-70.429500
49,43.242624,-70.898509
50,42.109866,-72.600073
51,41.062238,-73.541770
52,43.4472,-71.6196
53,41.553692,-73.037668
54,41.71508,-72.228628
55,41.929995,-73.075855
56,42.297203,-71.767824
57,43.0110,-71.3891
58,44.8065858,-68.7762882
59,44.4731,-71.1752
60,42.348372,-71.098096
61,42.055294,-71.066743
62,41.649848,-70.312653
63,46.844559,-68.047519
64,41.404983,-73.462863
65,41.664980,-72.640160
66,42.915372,-72.249395
67,44.075025,-70.175285
68,42.6446393,-71.3039383
69,43.072469,-71.454268
70,41.6441916,-70.8993251
71,41.262240,-73.005625
72,41.524635,-72.073405
73,43.674841,-70.294884
74,41.721381,-71.403793
75,43.455480,-70.789797
76,44.460255,-73.180318
77,42.107384,-72.598522
78,43.642784,-72.333126
79,42.250524,-71.769832
80,42.951843,-78.812706
81,42.651635,-73.776228
82,42.343603,-77.347137
83,42.901053,-77.270460
84,43.039311,-76.138228
85,43.010471,-78.200228
86,42.951263,-78.813542
87,43.0492421,-76.1640215
88,42.940891,-76.564864
89,42.300600,-75.472100
90,42.109221,-75.867988
91,,
92,42.231603,-73.878184
93,42.860048,-73.765140
94,41.800645,-77.973865
95,42.4839638,-79.3288930
96,42.090925,-76.798892
97,42.961411,-74.386527
98,43.306542,-73.652602
99,42.094332,-79.254410
100,41.937811,-74.017363
101,42.830904,-78.804836
102,43.13707,-78.692923
103,44.848774,-74.293538
104,44.935639,-74.907423
105,43.0948420,-79.0352870
106,42.081600,-78.427500
107,43.402584,-76.429696
108,44.6795150,-73.4522130
109,43.114800,-77.609131
110,43.213164,-75.418221
111,44.330205,-74.133069
112,42.823434,-73.909843
113,42.503666,-78.683155
114,42.47239,-76.396791
115,42.732576,-73.690262
116,43.968497,-75.877822
117,41.741206,-77.270130
118,42.147334,-77.973700
119,44.209868,-73.514233
120,42.720441,-73.808686
121,42.100509,-75.910410
122,42.901703,-78.871748
123,43.106516,-77.576465
124,43.049316,-76.141649
125,43.976572,-75.912127
126,41.238024,-73.931274
127,40.752661,-74.236115
128,40.736317,-73.977115
129,40.608155,-74.031582
130,41.540074,-73.959883
131,40.753644,-74.234130
